"Follow-up","Measure","SubMeasure","withoutER","withER","withERchemo","Note"
"5","Cumulative breast cancer mortality","","","","","Note: Results per 1e+05 women"
"","","No screening","61 (47,75)","57 (44,73)","50 (36,63)","Note: Results per 1e+05 women"
"","","Screening","61 (47,75)","57 (44,73)","50 (36,63)","Note: Results per 1e+05 women"
"","MRRs within trials","","1.00 (1.00,1.00)","1.00 (1.00,1.00)","1.00 (1.00,1.00)","Note: Results per 1e+05 women"
"","MRRs across trials","","","","","Note: Results per 1e+05 women"
"","","No screening","1.00 (1.00,1.00)","0.94 (0.88,0.98)","0.82 (0.72,0.89)","Note: Results per 1e+05 women"
"","","Screening","1.00 (1.00,1.00)","0.94 (0.88,0.98)","0.82 (0.72,0.89)","Note: Results per 1e+05 women"
"","ARRs within trials","","0.0 (0.0,0.0)","0.0 (0.0,0.0)","0.0 (0.0,0.0)","Note: Results per 1e+05 women"
"","ARRs across trials","","","","","Note: Results per 1e+05 women"
"","","No screening"," 0.0 (0.0, 0.0)"," 3.7 (1.0, 7.0)","11.2 (6.0,17.5)","Note: Results per 1e+05 women"
"","","Screening"," 0.0 (0.0, 0.0)"," 3.7 (1.0, 7.0)","11.2 (6.0,17.5)","Note: Results per 1e+05 women"
"","Years saved across trials","","","","","Note: Results per 1e+05 women"
"","","No screening","  0.0 (  0.0,  0.0)"," -6.5 (-10.1, -3.0)","-20.9 (-28.4,-14.4)","Note: Results per 1e+05 women"
"","","Screening","  0.0 (  0.0,  0.0)"," -6.5 (-10.1, -3.0)","-20.9 (-28.4,-14.4)","Note: Results per 1e+05 women"
"10","Cumulative breast cancer mortality","","","","","Note: Results per 1e+05 women"
"","","No screening","191 (165,216)","182 (158,205)","163 (140,187)","Note: Results per 1e+05 women"
"","","Screening","191 (165,216)","182 (158,205)","163 (140,187)","Note: Results per 1e+05 women"
"","MRRs within trials","","1.00 (1.00,1.00)","1.00 (1.00,1.00)","1.00 (1.00,1.00)","Note: Results per 1e+05 women"
"","MRRs across trials","","","","","Note: Results per 1e+05 women"
"","","No screening","1.00 (1.00,1.00)","0.95 (0.92,0.98)","0.85 (0.81,0.90)","Note: Results per 1e+05 women"
"","","Screening","1.00 (1.00,1.00)","0.95 (0.92,0.98)","0.85 (0.81,0.90)","Note: Results per 1e+05 women"
"","ARRs within trials","","0.0 (0.0,0.0)","0.0 (0.0,0.0)","0.0 (0.0,0.0)","Note: Results per 1e+05 women"
"","ARRs across trials","","","","","Note: Results per 1e+05 women"
"","","No screening"," 0.0 ( 0.0, 0.0)"," 8.8 ( 3.5,15.5)","27.8 (19.0,36.0)","Note: Results per 1e+05 women"
"","","Screening"," 0.0 ( 0.0, 0.0)"," 8.8 ( 3.5,15.5)","27.8 (19.0,36.0)","Note: Results per 1e+05 women"
"","Years saved across trials","","","","","Note: Results per 1e+05 women"
"","","No screening","   0.0 (   0.0,  0.0)"," -34.7 ( -49.2,-23.2)","-110.6 (-130.5,-91.8)","Note: Results per 1e+05 women"
"","","Screening","   0.0 (   0.0,  0.0)"," -34.7 ( -49.2,-23.2)","-110.6 (-130.5,-91.8)","Note: Results per 1e+05 women"
