"Follow-up","Measure","SubMeasure","withoutER","withER","Note"
"5","Cumulative breast cancer mortality","","","","Note: Results per 1e+05 women"
"","","No screening","60 (48,74)","57 (45,68)","Note: Results per 1e+05 women"
"","","Screening","48 (37,61)","45 (33,57)","Note: Results per 1e+05 women"
"","MRRs within trials","","0.80 (0.70,0.89)","0.79 (0.69,0.89)","Note: Results per 1e+05 women"
"","MRRs across trials","","","","Note: Results per 1e+05 women"
"","","No screening","1.00 (1.00,1.00)","0.94 (0.88,0.98)","Note: Results per 1e+05 women"
"","","Screening","0.80 (0.70,0.89)","0.75 (0.64,0.85)","Note: Results per 1e+05 women"
"","ARRs within trials","","12.3 (6.0,18.0)","11.6 (5.5,18.5)","Note: Results per 1e+05 women"
"","ARRs across trials","","","","Note: Results per 1e+05 women"
"","","No screening","0.0 (0.0,0.0)","3.7 (1.0,7.0)","Note: Results per 1e+05 women"
"","","Screening","12.3 (6.0,18.0)","15.4 (9.0,24.0)","Note: Results per 1e+05 women"
"","Years saved across trials","","","","Note: Results per 1e+05 women"
"","","No screening"," 0.0 (  0.0, 0.0)","-6.6 (-10.7,-3.0)","Note: Results per 1e+05 women"
"","","Screening","-22.9 (-35.9,-11.5)","-28.3 (-42.5,-16.7)","Note: Results per 1e+05 women"
"10","Cumulative breast cancer mortality","","","","Note: Results per 1e+05 women"
"","","No screening","188 (164,211)","179 (157,201)","Note: Results per 1e+05 women"
"","","Screening","153 (131,173)","145 (126,167)","Note: Results per 1e+05 women"
"","MRRs within trials","","0.81 (0.75,0.86)","0.81 (0.75,0.86)","Note: Results per 1e+05 women"
"","MRRs across trials","","","","Note: Results per 1e+05 women"
"","","No screening","1.00 (1.00,1.00)","0.95 (0.92,0.98)","Note: Results per 1e+05 women"
"","","Screening","0.81 (0.75,0.86)","0.77 (0.71,0.83)","Note: Results per 1e+05 women"
"","ARRs within trials","","35.5 (24.5,47.0)","34.3 (25.0,46.0)","Note: Results per 1e+05 women"
"","ARRs across trials","","","","Note: Results per 1e+05 women"
"","","No screening","0.0 (0.0, 0.0)","9.3 (3.5,16.0)","Note: Results per 1e+05 women"
"","","Screening","35.5 (24.5,47.0)","43.6 (33.0,55.0)","Note: Results per 1e+05 women"
"","Years saved across trials","","","","Note: Results per 1e+05 women"
"","","No screening","  0.0 (  0.0,  0.0)","-36.4 (-51.0,-25.5)","Note: Results per 1e+05 women"
"","","Screening","-134.9 (-168.8, -99.7)","-164.6 (-205.2,-129.7)","Note: Results per 1e+05 women"
